n,subtime,cycle,time
4,110.9,100,1.109
8,375.9,100,3.759
16,2667.7,100,26.677
32,11276.5,100,112.765
64,70365.7,100,703.657
128,586545,100,5865.45
256,9222820,100,92228.2
512,45151800,100,451518
1024,51318800,10,5131880
